date,cpu_usage,memory_usage,disk_io,network_traffic,error_count
2024-08-20,45.2,68.5,1250.3,89.7,0
2024-08-21,47.1,69.2,1280.5,91.3,1
2024-08-22,46.8,70.1,1295.7,88.9,0
2024-08-22,46.8,70.1,1295.7,88.9,0
2024-08-23,48.3,,1310.2,93.4,2
2024-08-24,49.1,71.8,1325.6,95.1,1
2024-08-25,50.2,72.5,1340.9,97.2,3
2024-08-26,NaN,73.1,1355.4,98.7,2
2024-08-27,51.7,74.0,1370.8,100.3,4
2024-08-28,52.4,74.8,1385.2,102.1,3
2024-08-29,53.1,75.6,1400.7,103.8,5
2024-08-30,54.0,76.2,1415.3,105.6,4
2024-08-31,52.8,77.1,1430.9,107.2,6
2024-09-01,51.5,76.8,1445.1,104.9,5
2024-09-02,50.3,75.9,1425.7,102.4,3
